,Friday,,,,,,,,,,,,,,,,Saturday,,,,,,,,,,,,,,,
,Virginia Tech v Florida,Colgate v Arkansas,Drexel v Illinois,Utah St. v Texas Tech.,Oral Roberts v Ohio St.,Hartford v Baylor,Georgia Tech v Loyola Chicago,Oregon St. v Tennessee,Liberty v Oklahoma St. ,Wisconsin v North Carolina,Cleveland St. v Houston,North Texas v Purdue,Rutgers v Clemson,Syracuse v. San Diego St.,Winthrop v Villanova,Morehead St. v West Virginia,Georgetown v Colorado,UNC Greensboro v Florida St.,Eastern Washington v Kansas,St. Bonaventure vs LSU,Texas Southern v Michigan,UC Santa Barbara v Creighton,Iona v Alabama,Drake v USC,VCU v Oregon,Grand Canyon v Iowa,Maryland v UConn,Ohio v Virginia,Missouri v Oklahoma,Norfolk St. v Gonzaga,UCLA v BYU,Abilene Christian v Texas
Winner,Florida (21),Arkansas (9),Illinois (3),Texas Tech. (18),Oral Roberts (45),Baylor (3),Loyola Chicago (24),Oregon St. (36),Oklahoma St. (12),Wisconsin (27),Houston (6),North Texas (39),Rutgers (30),Syracuse (33),Villanova (15),West Virginia (9),Colorado (15),Florida St. (12),Kansas (9),LSU (24),Michigan (3),Creighton (15),Alabama (6),USC (18),Oregon (21) *Declared no contest,Iowa (6),Maryland (30),Ohio (39),Oklahoma (24),Gonzaga (3),UCLA (33),Abilene Christian (42)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler,Florida,Colgate,Illinois,Utah St.,Ohio St.,Baylor,Georgia Tech,Oregon St.,Oklahoma St.,Wisconsin,Houston,Purdue,Rutgers,Syracuse,Villanova,West Virginia,Colorado,Florida St.,Kansas,LSU,Michigan,UC Santa Barbara,Alabama,Drake,VCU,Iowa,Maryland,Ohio,Oklahoma,Gonzaga,UCLA,Texas
Sidd,Virginia Tech,Arkansas,Illinois,Texas Tech.,Ohio St.,Baylor,Loyola Chicago,Oregon St.,Oklahoma St.,North Carolina,Houston,Purdue,Clemson,San Diego St.,Winthrop,West Virginia,Colorado,Florida St.,Kansas,LSU,Michigan,UC Santa Barbara,Alabama,USC,Oregon,Iowa,UConn,Ohio,Oklahoma,Gonzaga,UCLA,Abilene Christian
Roberto,Virginia Tech,Arkansas,Illinois,Texas Tech.,Ohio St.,Baylor,Loyola Chicago,Tennessee,Oklahoma St.,Wisconsin,Houston,Purdue,Rutgers,Syracuse,Winthrop,West Virginia,Colorado,Florida St.,Kansas,LSU,Michigan,UC Santa Barbara,Alabama,USC,VCU,Iowa,Maryland,Virginia,Missouri,Gonzaga,UCLA,Texas
Justin,Virginia Tech,Colgate,Illinois,Texas Tech.,Ohio St.,Baylor,Loyola Chicago,Tennessee,Oklahoma St.,Wisconsin,Houston,Purdue,Rutgers,Syracuse,Villanova,West Virginia,Georgetown,Florida St.,Kansas,LSU,Michigan,Creighton,Alabama,USC,Oregon,Iowa,Maryland,Virginia,Missouri,Gonzaga,UCLA,Texas
Jo,Virginia Tech,Arkansas,Illinois,Texas Tech.,Ohio St.,Baylor,Georgia Tech,Tennessee,Oklahoma St.,Wisconsin,Houston,North Texas,Clemson,San Diego St.,Villanova,West Virginia,Georgetown,Florida St.,Kansas,St. Bonaventure,Michigan,UC Santa Barbara,Alabama,Drake,Oregon,Iowa,Maryland,Virginia,Missouri,Gonzaga,UCLA,Texas
Jenna,Virginia Tech,Arkansas,Illinois,Texas Tech.,Ohio St.,Baylor,Georgia Tech,Oregon St.,Oklahoma St.,Wisconsin,Houston,Purdue,Rutgers,San Diego St.,Villanova,West Virginia,Colorado,Florida St.,Kansas,LSU,Michigan,UC Santa Barbara,Alabama,USC,Oregon,Iowa,Maryland,Virginia,Missouri,Gonzaga,UCLA,Texas
Elaine,Virginia Tech,Arkansas,Drexel,Utah St.,Ohio St.,Baylor,Loyola Chicago,Oregon St.,Oklahoma St.,North Carolina,Houston,North Texas,Rutgers,San Diego St.,Villanova,West Virginia,Colorado,UNC Greensboro,Kansas,St. Bonaventure,Michigan,Creighton,Alabama,Drake,VCU,Iowa,Maryland,Virginia,Oklahoma,Gonzaga,UCLA,Texas
Dave,Florida,Arkansas,Illinois,Texas Tech.,Ohio St.,Baylor,Loyola Chicago,Tennessee,Oklahoma St.,Wisconsin,Houston,Purdue,Clemson,San Diego St.,Winthrop,West Virginia,Georgetown,Florida St.,Kansas,St. Bonaventure,Michigan,Creighton,Iona,USC,VCU,Iowa,Maryland,Virginia,Oklahoma,Gonzaga,BYU,Texas
Conner,Virginia Tech,Colgate,Illinois,Utah St.,Ohio St.,Baylor,Loyola Chicago,Tennessee,Oklahoma St.,Wisconsin,Houston,Purdue,Rutgers,Syracuse,Villanova,West Virginia,Colorado,Florida St.,Kansas,LSU,Michigan,Creighton,Alabama,USC,Oregon,Iowa,Maryland,Virginia,Missouri,Gonzaga,UCLA,Texas
Cara,Virginia Tech,Arkansas,Illinois,Texas Tech.,Ohio St.,Baylor,Georgia Tech,Tennessee,Oklahoma St.,Wisconsin,Houston,Purdue,Clemson,Syracuse,Villanova,West Virginia,Georgetown,Florida St.,Kansas,LSU,Michigan,Creighton,Alabama,USC,VCU,Iowa,Maryland,Virginia,Missouri,Gonzaga,BYU,Texas
Barack,Virginia Tech,Arkansas,Illinois,Texas Tech.,Ohio St.,Baylor,Loyola Chicago,Tennessee,Oklahoma St.,North Carolina,Houston,Purdue,Rutgers,San Diego St.,Villanova,West Virginia,Georgetown,Florida St.,Kansas,LSU,Michigan,UC Santa Barbara,Alabama,USC,Oregon,Iowa,Maryland,Ohio,Missouri,Gonzaga,UCLA,Texas
Alec,Virginia Tech,Arkansas,Illinois,Utah St.,Ohio St.,Baylor,Loyola Chicago,Tennessee,Oklahoma St.,Wisconsin,Houston,Purdue,Rutgers,San Diego St.,Winthrop,West Virginia,Colorado,Florida St.,Eastern Washington,LSU,Michigan,UC Santa Barbara,Alabama,USC,Oregon,Iowa,Maryland,Ohio,Oklahoma,Gonzaga,BYU,Texas